01.06.2020 13:49:41(01.06.2020 14:11:20 ~ 01.06.2020 15:49:41) > Undelivered Order. ShopID = 350. OrederID = 2451189. Weight = 3,968, Lat = 55,663513, Long = 37,517921, dist =0,68 km, arrivalTime =  2,05 min
01.06.2020 18:13:03(01.06.2020 18:48:22 ~ 01.06.2020 20:13:03) > Undelivered Order. ShopID = 832. OrederID = 2462527. Weight = 13,609, Lat = 56,3318986156252, Long = 38,140307266725, dist =0,50 km, arrivalTime =  1,49 min
01.06.2020 19:55:55(01.06.2020 20:02:08 ~ 01.06.2020 21:55:55) > Undelivered Order. ShopID = 832. OrederID = 2470364. Weight = 2,543, Lat = 56,335323, Long = 38,139198, dist =0,92 km, arrivalTime =  2,77 min
01.06.2020 16:39:36(01.06.2020 17:15:43 ~ 01.06.2020 18:39:36) > Undelivered Order. ShopID = 835. OrederID = 2461092. Weight = 7,053, Lat = 55,7248035976919, Long = 37,4099104, dist =1,05 km, arrivalTime =  3,16 min
01.06.2020 13:30:55(01.06.2020 13:40:42 ~ 01.06.2020 15:30:55) > Undelivered Order. ShopID = 840. OrederID = 2450643. Weight = 2,934, Lat = 56,3028978, Long = 38,1876043, dist =3,75 km, arrivalTime =  11,26 min
01.06.2020 14:17:56(01.06.2020 14:39:59 ~ 01.06.2020 16:17:56) > Undelivered Order. ShopID = 840. OrederID = 2453241. Weight = 1,883, Lat = 56,3200129884166, Long = 38,1096163336899, dist =2,88 km, arrivalTime =  8,65 min
01.06.2020 19:05:35(01.06.2020 19:24:58 ~ 01.06.2020 21:05:35) > Undelivered Order. ShopID = 840. OrederID = 2468925. Weight = 7,839, Lat = 56,304173, Long = 38,101818, dist =2,61 km, arrivalTime =  7,83 min
01.06.2020 11:26:12(01.06.2020 12:03:48 ~ 01.06.2020 13:26:12) > Undelivered Order. ShopID = 845. OrederID = 2442444. Weight = 24,176, Lat = 55,8459841, Long = 37,5550811, dist =1,71 km, arrivalTime =  5,13 min
01.06.2020 15:56:15(01.06.2020 16:01:31 ~ 01.06.2020 17:56:15) > Undelivered Order. ShopID = 890. OrederID = 2458894. Weight = 2,853, Lat = 55,745853, Long = 37,570652, dist =0,48 km, arrivalTime =  1,45 min
01.06.2020 17:14:39(01.06.2020 17:24:54 ~ 01.06.2020 19:14:39) > Undelivered Order. ShopID = 890. OrederID = 2463123. Weight = 1,881, Lat = 55,748085, Long = 37,568897, dist =0,30 km, arrivalTime =  0,89 min
01.06.2020 17:36:17(01.06.2020 17:46:39 ~ 01.06.2020 19:36:17) > Undelivered Order. ShopID = 890. OrederID = 2464707. Weight = 2,803, Lat = 55,7462119, Long = 37,5652972, dist =0,19 km, arrivalTime =  0,58 min
01.06.2020 17:50:54(01.06.2020 17:56:14 ~ 01.06.2020 19:50:54) > Undelivered Order. ShopID = 890. OrederID = 2465264. Weight = 2,378, Lat = 55,746693, Long = 37,56588, dist =0,14 km, arrivalTime =  0,43 min
01.06.2020 17:32:49(01.06.2020 18:03:26 ~ 01.06.2020 19:32:49) > Undelivered Order. ShopID = 890. OrederID = 2464504. Weight = 9,201, Lat = 55,748258, Long = 37,5715409, dist =0,49 km, arrivalTime =  1,48 min
01.06.2020 19:57:59(01.06.2020 20:10:33 ~ 01.06.2020 21:57:59) > Undelivered Order. ShopID = 890. OrederID = 2471433. Weight = 2,825, Lat = 55,7473962984616, Long = 37,5598265, dist =0,39 km, arrivalTime =  1,18 min
01.06.2020 20:54:31(01.06.2020 21:06:03 ~ 01.06.2020 22:54:31) > Undelivered Order. ShopID = 890. OrederID = 2470632. Weight = 1,543, Lat = 55,747635, Long = 37,57169, dist =0,50 km, arrivalTime =  1,50 min
01.06.2020 14:13:30(01.06.2020 15:23:30 ~ 01.06.2020 16:13:30) > Undelivered Order. ShopID = 897. OrederID = 2451892. Weight = 5,283, Lat = 55,844261, Long = 37,371693, dist =0,67 km, arrivalTime =  2,01 min
01.06.2020 19:45:22(01.06.2020 19:55:13 ~ 01.06.2020 21:45:22) > Undelivered Order. ShopID = 897. OrederID = 2470739. Weight = 3,377, Lat = 55,8429338988473, Long = 37,3559458, dist =0,70 km, arrivalTime =  2,10 min
01.06.2020 20:03:57(01.06.2020 20:17:44 ~ 01.06.2020 22:03:57) > Undelivered Order. ShopID = 897. OrederID = 2470486. Weight = 4,605, Lat = 55,8451435992316, Long = 37,3616392, dist =0,18 km, arrivalTime =  0,55 min
01.06.2020 20:11:02(01.06.2020 20:47:40 ~ 01.06.2020 22:11:02) > Undelivered Order. ShopID = 897. OrederID = 2471372. Weight = 13,71, Lat = 55,8462138969264, Long = 37,3714024, dist =0,60 km, arrivalTime =  1,81 min
01.06.2020 19:53:57(01.06.2020 20:31:34 ~ 01.06.2020 21:53:57) > Undelivered Order. ShopID = 905. OrederID = 2433564. Weight = 5,906, Lat = 55,5754824996147, Long = 37,6471601, dist =2,14 km, arrivalTime =  6,41 min
01.06.2020 11:36:49(01.06.2020 12:43:50 ~ 01.06.2020 13:36:49) > Undelivered Order. ShopID = 920. OrederID = 2441557. Weight = 10,486, Lat = 55,560219, Long = 37,704403, dist =1,12 km, arrivalTime =  3,37 min
01.06.2020 18:17:18(01.06.2020 18:29:00 ~ 01.06.2020 20:17:18) > Undelivered Order. ShopID = 920. OrederID = 2466039. Weight = 1,805, Lat = 55,5508182633617, Long = 37,699572113321, dist =0,27 km, arrivalTime =  0,81 min
01.06.2020 18:37:44(01.06.2020 18:56:50 ~ 01.06.2020 20:37:44) > Undelivered Order. ShopID = 920. OrederID = 2466743. Weight = 6,303, Lat = 55,5642926996147, Long = 37,6717764, dist =2,86 km, arrivalTime =  8,58 min
01.06.2020 19:38:10(01.06.2020 19:52:18 ~ 01.06.2020 21:38:10) > Undelivered Order. ShopID = 920. OrederID = 2469252. Weight = 2,677, Lat = 55,5336, Long = 37,67046, dist =3,44 km, arrivalTime =  10,33 min
01.06.2020 11:39:38(01.06.2020 12:20:56 ~ 01.06.2020 13:39:38) > Undelivered Order. ShopID = 933. OrederID = 2441631. Weight = 7,538, Lat = 55,737335, Long = 37,615505, dist =1,22 km, arrivalTime =  3,67 min
01.06.2020 12:28:10(01.06.2020 12:57:35 ~ 01.06.2020 14:28:10) > Undelivered Order. ShopID = 933. OrederID = 2434490. Weight = 19,009, Lat = 55,731655, Long = 37,615112, dist =1,45 km, arrivalTime =  4,36 min
01.06.2020 11:56:38(01.06.2020 13:06:38 ~ 01.06.2020 13:56:38) > Undelivered Order. ShopID = 933. OrederID = 2444501. Weight = 0,498, Lat = 55,7334315, Long = 37,6099637, dist =1,71 km, arrivalTime =  5,14 min
01.06.2020 12:18:35(01.06.2020 13:28:35 ~ 01.06.2020 14:18:35) > Undelivered Order. ShopID = 933. OrederID = 2442555. Weight = 11,759, Lat = 55,737995, Long = 37,643967, dist =0,92 km, arrivalTime =  2,77 min
01.06.2020 13:18:54(01.06.2020 14:20:58 ~ 01.06.2020 15:18:54) > Undelivered Order. ShopID = 933. OrederID = 2449885. Weight = 8,671, Lat = 55,7360077, Long = 37,6392465, dist =0,58 km, arrivalTime =  1,74 min
01.06.2020 18:57:26(01.06.2020 19:05:50 ~ 01.06.2020 20:57:26) > Undelivered Order. ShopID = 933. OrederID = 2468340. Weight = 1,093, Lat = 55,7360973996154, Long = 37,6185877, dist =1,00 km, arrivalTime =  3,01 min
01.06.2020 19:10:04(01.06.2020 19:17:10 ~ 01.06.2020 21:10:04) > Undelivered Order. ShopID = 933. OrederID = 2468143. Weight = 1,083, Lat = 55,743984, Long = 37,612953, dist =1,68 km, arrivalTime =  5,05 min
01.06.2020 19:53:08(01.06.2020 20:17:37 ~ 01.06.2020 21:53:08) > Undelivered Order. ShopID = 933. OrederID = 2471311. Weight = 7,816, Lat = 55,7399043, Long = 37,6431459, dist =0,93 km, arrivalTime =  2,79 min
01.06.2020 20:15:49(01.06.2020 20:35:55 ~ 01.06.2020 22:15:49) > Undelivered Order. ShopID = 933. OrederID = 2472105. Weight = 7,2, Lat = 55,7321794, Long = 37,6292061, dist =0,69 km, arrivalTime =  2,08 min
01.06.2020 20:05:07(01.06.2020 20:55:00 ~ 01.06.2020 22:05:07) > Undelivered Order. ShopID = 933. OrederID = 2470190. Weight = 12,399, Lat = 55,735832, Long = 37,644569, dist =0,98 km, arrivalTime =  2,93 min
01.06.2020 10:20:25(01.06.2020 11:30:25 ~ 01.06.2020 12:20:25) > Undelivered Order. ShopID = 958. OrederID = 2435969. Weight = 10,225, Lat = 55,46207, Long = 38,443779, dist =0,25 km, arrivalTime =  0,75 min
01.06.2020 12:01:40(01.06.2020 13:08:03 ~ 01.06.2020 14:01:40) > Undelivered Order. ShopID = 973. OrederID = 2443892. Weight = 5,342, Lat = 55,6119089996149, Long = 38,1033447, dist =2,05 km, arrivalTime =  6,14 min
01.06.2020 15:55:29(01.06.2020 16:25:03 ~ 01.06.2020 17:55:29) > Undelivered Order. ShopID = 973. OrederID = 2458148. Weight = 4,25, Lat = 55,5934492988444, Long = 38,0891723, dist =0,83 km, arrivalTime =  2,48 min
01.06.2020 11:07:20(01.06.2020 11:22:36 ~ 01.06.2020 13:07:20) > Undelivered Order. ShopID = 984. OrederID = 2440841. Weight = 0,513, Lat = 55,738941, Long = 37,862049, dist =1,10 km, arrivalTime =  3,30 min
01.06.2020 12:50:09(01.06.2020 14:00:09 ~ 01.06.2020 14:50:09) > Undelivered Order. ShopID = 984. OrederID = 2447687. Weight = 7,737, Lat = 55,7382503988461, Long = 37,8577952, dist =1,32 km, arrivalTime =  3,97 min
01.06.2020 11:14:08(01.06.2020 12:24:08 ~ 01.06.2020 13:14:08) > Undelivered Order. ShopID = 1005. OrederID = 2430931. Weight = 5,057, Lat = 55,6013200558654, Long = 37,5964115550871, dist =0,78 km, arrivalTime =  2,35 min
01.06.2020 11:27:18(01.06.2020 12:37:18 ~ 01.06.2020 13:27:18) > Undelivered Order. ShopID = 1005. OrederID = 2438037. Weight = 8,71, Lat = 55,595947, Long = 37,598614, dist =0,50 km, arrivalTime =  1,51 min
01.06.2020 13:38:01(01.06.2020 14:34:37 ~ 01.06.2020 15:38:01) > Undelivered Order. ShopID = 1005. OrederID = 2450844. Weight = 3,327, Lat = 55,5997167996148, Long = 37,5815432, dist =0,93 km, arrivalTime =  2,78 min
01.06.2020 11:56:21(01.06.2020 12:27:29 ~ 01.06.2020 13:56:21) > Undelivered Order. ShopID = 1020. OrederID = 2444481. Weight = 12,773, Lat = 55,7329952, Long = 37,4413483, dist =0,71 km, arrivalTime =  2,13 min
01.06.2020 11:55:56(01.06.2020 13:05:56 ~ 01.06.2020 13:55:56) > Undelivered Order. ShopID = 1020. OrederID = 2443588. Weight = 9,465, Lat = 55,735809, Long = 37,432564, dist =0,25 km, arrivalTime =  0,76 min
01.06.2020 10:29:05(01.06.2020 10:44:37 ~ 01.06.2020 12:29:05) > Undelivered Order. ShopID = 1029. OrederID = 2434852. Weight = 4,963, Lat = 56,319057, Long = 36,723442, dist =1,99 km, arrivalTime =  5,96 min
01.06.2020 10:56:09(01.06.2020 11:13:36 ~ 01.06.2020 12:56:09) > Undelivered Order. ShopID = 1029. OrederID = 2440462. Weight = 6,668, Lat = 56,3729722, Long = 36,7012457, dist =5,75 km, arrivalTime =  17,25 min
01.06.2020 11:32:26(01.06.2020 11:44:29 ~ 01.06.2020 13:32:26) > Undelivered Order. ShopID = 1029. OrederID = 2441735. Weight = 4,449, Lat = 56,319298, Long = 36,766644, dist =3,21 km, arrivalTime =  9,64 min
01.06.2020 15:10:52(01.06.2020 15:24:08 ~ 01.06.2020 17:10:52) > Undelivered Order. ShopID = 1029. OrederID = 2456256. Weight = 1,85, Lat = 56,3243237961784, Long = 36,7279127, dist =1,22 km, arrivalTime =  3,66 min
01.06.2020 17:39:20(01.06.2020 17:51:34 ~ 01.06.2020 19:39:20) > Undelivered Order. ShopID = 1029. OrederID = 2464456. Weight = 5,998, Lat = 56,33728, Long = 36,724674, dist =0,73 km, arrivalTime =  2,18 min
01.06.2020 12:48:43(01.06.2020 13:31:06 ~ 01.06.2020 14:48:43) > Undelivered Order. ShopID = 1041. OrederID = 2447900. Weight = 7,753, Lat = 55,7891058, Long = 38,4392922, dist =0,36 km, arrivalTime =  1,08 min
01.06.2020 13:32:36(01.06.2020 13:37:44 ~ 01.06.2020 15:32:36) > Undelivered Order. ShopID = 1041. OrederID = 2450394. Weight = 0,743, Lat = 55,766281, Long = 38,422268, dist =3,67 km, arrivalTime =  11,00 min
01.06.2020 14:19:17(01.06.2020 14:32:04 ~ 01.06.2020 16:19:17) > Undelivered Order. ShopID = 1041. OrederID = 2453570. Weight = 2,263, Lat = 55,771343, Long = 38,425545, dist =2,95 km, arrivalTime =  8,84 min
01.06.2020 16:41:03(01.06.2020 16:57:21 ~ 01.06.2020 18:41:03) > Undelivered Order. ShopID = 1041. OrederID = 2453172. Weight = 13,942, Lat = 55,801163, Long = 38,489674, dist =3,86 km, arrivalTime =  11,59 min
01.06.2020 16:55:44(01.06.2020 17:15:17 ~ 01.06.2020 18:55:44) > Undelivered Order. ShopID = 1041. OrederID = 2462460. Weight = 4,608, Lat = 55,798667, Long = 38,430593, dist =1,23 km, arrivalTime =  3,69 min
01.06.2020 17:21:17(01.06.2020 17:33:51 ~ 01.06.2020 19:21:17) > Undelivered Order. ShopID = 1041. OrederID = 2463312. Weight = 9,993, Lat = 55,767529, Long = 38,42807, dist =3,36 km, arrivalTime =  10,08 min
01.06.2020 17:59:24(01.06.2020 18:07:58 ~ 01.06.2020 19:59:24) > Undelivered Order. ShopID = 1041. OrederID = 2465910. Weight = 0,723, Lat = 55,7901342, Long = 38,4450132, dist =0,35 km, arrivalTime =  1,06 min
01.06.2020 20:11:54(01.06.2020 20:21:08 ~ 01.06.2020 22:11:54) > Undelivered Order. ShopID = 1041. OrederID = 2471222. Weight = 2,238, Lat = 55,801338, Long = 38,432884, dist =1,44 km, arrivalTime =  4,32 min
01.06.2020 11:25:49(01.06.2020 11:35:49 ~ 01.06.2020 13:25:49) > Undelivered Order. ShopID = 1078. OrederID = 2442399. Weight = 0,5, Lat = 55,636498499615, Long = 37,715843, dist =1,72 km, arrivalTime =  5,16 min
01.06.2020 18:04:46(01.06.2020 18:27:17 ~ 01.06.2020 20:04:46) > Undelivered Order. ShopID = 1078. OrederID = 2464790. Weight = 5,763, Lat = 55,63612299923, Long = 37,7229681, dist =2,26 km, arrivalTime =  6,77 min
01.06.2020 13:03:01(01.06.2020 13:04:26 ~ 01.06.2020 15:03:01) > Undelivered Order. ShopID = 1080. OrederID = 2448662. Weight = 1,53, Lat = 55,8850283061942, Long = 37,1043550404161, dist =3,01 km, arrivalTime =  9,03 min
01.06.2020 13:15:38(01.06.2020 14:15:04 ~ 01.06.2020 15:15:38) > Undelivered Order. ShopID = 1080. OrederID = 2446846. Weight = 26,58, Lat = 55,8730724673736, Long = 37,129846093218, dist =1,01 km, arrivalTime =  3,04 min
01.06.2020 13:38:21(01.06.2020 14:48:21 ~ 01.06.2020 15:38:21) > Undelivered Order. ShopID = 1080. OrederID = 2451107. Weight = 35,387, Lat = 55,868729, Long = 37,1076385, dist =1,39 km, arrivalTime =  4,18 min
01.06.2020 14:12:06(01.06.2020 15:22:06 ~ 01.06.2020 16:12:06) > Undelivered Order. ShopID = 1080. OrederID = 2452431. Weight = 7,7, Lat = 55,8574374996158, Long = 37,1242719, dist =1,13 km, arrivalTime =  3,39 min
01.06.2020 18:33:56(01.06.2020 18:40:50 ~ 01.06.2020 20:33:56) > Undelivered Order. ShopID = 1080. OrederID = 2467548. Weight = 3,603, Lat = 55,87269937231, Long = 37,1239835053457, dist =0,92 km, arrivalTime =  2,75 min
01.06.2020 18:21:54(01.06.2020 18:48:25 ~ 01.06.2020 20:21:54) > Undelivered Order. ShopID = 1080. OrederID = 2466557. Weight = 2,683, Lat = 55,8742652962633, Long = 37,109427220024, dist =1,65 km, arrivalTime =  4,94 min
01.06.2020 10:18:11(01.06.2020 10:36:58 ~ 01.06.2020 12:18:11) > Undelivered Order. ShopID = 1103. OrederID = 2437988. Weight = 5,231, Lat = 55,683483, Long = 37,704502, dist =0,20 km, arrivalTime =  0,59 min
01.06.2020 10:30:10(01.06.2020 11:04:44 ~ 01.06.2020 12:30:10) > Undelivered Order. ShopID = 1103. OrederID = 2437150. Weight = 3,805, Lat = 55,679188, Long = 37,703442, dist =0,44 km, arrivalTime =  1,33 min
01.06.2020 10:27:33(01.06.2020 11:19:37 ~ 01.06.2020 12:27:33) > Undelivered Order. ShopID = 1103. OrederID = 2437749. Weight = 4,742, Lat = 55,6798375992303, Long = 37,7021332, dist =0,35 km, arrivalTime =  1,06 min
01.06.2020 12:49:25(01.06.2020 13:31:44 ~ 01.06.2020 14:49:25) > Undelivered Order. ShopID = 1103. OrederID = 2447953. Weight = 5,861, Lat = 55,6792595, Long = 37,7036859, dist =0,44 km, arrivalTime =  1,31 min
01.06.2020 18:07:34(01.06.2020 18:46:11 ~ 01.06.2020 20:07:34) > Undelivered Order. ShopID = 1103. OrederID = 2465682. Weight = 1,279, Lat = 55,676018, Long = 37,688721, dist =1,35 km, arrivalTime =  4,06 min
01.06.2020 19:42:44(01.06.2020 19:48:46 ~ 01.06.2020 21:42:44) > Undelivered Order. ShopID = 1103. OrederID = 2467439. Weight = 3,447, Lat = 55,679958, Long = 37,702854, dist =0,34 km, arrivalTime =  1,01 min
01.06.2020 12:38:19(01.06.2020 12:49:05 ~ 01.06.2020 14:38:19) > Undelivered Order. ShopID = 1108. OrederID = 2446861. Weight = 0,303, Lat = 55,7275750992306, Long = 37,6169568, dist =1,41 km, arrivalTime =  4,22 min
01.06.2020 16:10:59(01.06.2020 16:48:47 ~ 01.06.2020 18:10:59) > Undelivered Order. ShopID = 1113. OrederID = 2457177. Weight = 6,749, Lat = 55,626518, Long = 37,343861, dist =2,82 km, arrivalTime =  8,46 min
01.06.2020 18:04:32(01.06.2020 18:55:50 ~ 01.06.2020 20:04:32) > Undelivered Order. ShopID = 1126. OrederID = 2465159. Weight = 17,494, Lat = 55,8658125996159, Long = 37,5891129, dist =0,40 km, arrivalTime =  1,21 min
01.06.2020 19:36:07(01.06.2020 19:41:02 ~ 01.06.2020 21:36:07) > Undelivered Order. ShopID = 1141. OrederID = 2470502. Weight = 0,853, Lat = 55,6398770386749, Long = 37,597747512763, dist =0,39 km, arrivalTime =  1,16 min
01.06.2020 10:58:15(01.06.2020 12:08:15 ~ 01.06.2020 12:58:15) > Undelivered Order. ShopID = 1148. OrederID = 2436010. Weight = 4,107, Lat = 55,715511, Long = 37,435169, dist =1,14 km, arrivalTime =  3,42 min
01.06.2020 11:23:20(01.06.2020 11:49:57 ~ 01.06.2020 13:23:20) > Undelivered Order. ShopID = 1160. OrederID = 2433154. Weight = 10,925, Lat = 55,6154546992298, Long = 37,6046365, dist =1,07 km, arrivalTime =  3,21 min
01.06.2020 12:28:48(01.06.2020 13:38:48 ~ 01.06.2020 14:28:48) > Undelivered Order. ShopID = 1160. OrederID = 2446012. Weight = 10,493, Lat = 55,614063, Long = 37,598492, dist =0,80 km, arrivalTime =  2,40 min
01.06.2020 20:28:52(01.06.2020 20:43:24 ~ 01.06.2020 22:28:52) > Undelivered Order. ShopID = 1160. OrederID = 2471649. Weight = 5,15, Lat = 55,6194, Long = 37,584957, dist =0,51 km, arrivalTime =  1,54 min
01.06.2020 10:29:02(01.06.2020 11:05:23 ~ 01.06.2020 12:29:02) > Undelivered Order. ShopID = 1163. OrederID = 2438747. Weight = 3,508, Lat = 54,8697894, Long = 38,1330933, dist =6,01 km, arrivalTime =  18,02 min
01.06.2020 13:56:16(01.06.2020 14:21:00 ~ 01.06.2020 15:56:16) > Undelivered Order. ShopID = 1163. OrederID = 2451441. Weight = 1,873, Lat = 54,844212, Long = 38,115044, dist =7,06 km, arrivalTime =  21,19 min
01.06.2020 17:33:35(01.06.2020 17:49:42 ~ 01.06.2020 19:33:35) > Undelivered Order. ShopID = 1163. OrederID = 2464455. Weight = 1,155, Lat = 54,891857, Long = 38,090008, dist =2,34 km, arrivalTime =  7,03 min
01.06.2020 17:50:03(01.06.2020 18:29:21 ~ 01.06.2020 19:50:03) > Undelivered Order. ShopID = 1163. OrederID = 2464384. Weight = 15,336, Lat = 54,844086, Long = 38,085529, dist =6,02 km, arrivalTime =  18,07 min
01.06.2020 19:28:01(01.06.2020 19:59:56 ~ 01.06.2020 21:28:01) > Undelivered Order. ShopID = 1163. OrederID = 2469579. Weight = 4,938, Lat = 54,8853833996122, Long = 38,0857248, dist =1,93 km, arrivalTime =  5,78 min
01.06.2020 10:47:37(01.06.2020 11:57:37 ~ 01.06.2020 12:47:37) > Undelivered Order. ShopID = 1170. OrederID = 2439572. Weight = 5,375, Lat = 56,002655, Long = 37,630066, dist =9,03 km, arrivalTime =  27,08 min
01.06.2020 10:50:01(01.06.2020 12:00:01 ~ 01.06.2020 12:50:01) > Undelivered Order. ShopID = 1175. OrederID = 2438724. Weight = 19,459, Lat = 55,671074, Long = 36,665958, dist =12,77 km, arrivalTime =  38,30 min
01.06.2020 11:19:56(01.06.2020 12:29:56 ~ 01.06.2020 13:19:56) > Undelivered Order. ShopID = 1175. OrederID = 2440750. Weight = 9,402, Lat = 55,644413, Long = 36,69083, dist =9,04 km, arrivalTime =  27,11 min
01.06.2020 12:33:16(01.06.2020 13:43:16 ~ 01.06.2020 14:33:16) > Undelivered Order. ShopID = 1175. OrederID = 2446497. Weight = 8,427, Lat = 55,702435, Long = 36,752113, dist =17,35 km, arrivalTime =  52,04 min
01.06.2020 17:57:39(01.06.2020 18:07:07 ~ 01.06.2020 19:57:39) > Undelivered Order. ShopID = 1183. OrederID = 2465054. Weight = 3,736, Lat = 55,7449, Long = 37,553169, dist =0,32 km, arrivalTime =  0,95 min
01.06.2020 11:23:47(01.06.2020 12:24:16 ~ 01.06.2020 13:23:47) > Undelivered Order. ShopID = 1212. OrederID = 2437851. Weight = 8,403, Lat = 55,7007383891152, Long = 37,6199647452104, dist =3,14 km, arrivalTime =  9,43 min
01.06.2020 13:20:13(01.06.2020 13:47:15 ~ 01.06.2020 15:20:13) > Undelivered Order. ShopID = 1212. OrederID = 2448967. Weight = 8,577, Lat = 55,681667, Long = 37,662292, dist =2,12 km, arrivalTime =  6,36 min
01.06.2020 14:00:23(01.06.2020 14:43:59 ~ 01.06.2020 16:00:23) > Undelivered Order. ShopID = 1212. OrederID = 2448442. Weight = 14,751, Lat = 55,678703, Long = 37,634575, dist =0,00 km, arrivalTime =  0,01 min
01.06.2020 15:06:07(01.06.2020 15:43:35 ~ 01.06.2020 17:06:07) > Undelivered Order. ShopID = 1212. OrederID = 2455495. Weight = 13,772, Lat = 55,704132, Long = 37,625931, dist =3,46 km, arrivalTime =  10,37 min
